Viscosity in mN * s * m-2

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
AgNO3-TlNO3,74.0-26.0,+E,448,498,,1.3,4790.76,,,,,
AgNO3-TlNO3,82.1-17.9,+E,448,498,,1.5,4301.22,,,,,
AgNO3-TlNO3,93.2-6.8,+E,473,498,,1.74,3834.28,,,,,
AgNO3-TlNO3,100-0,DP,,,,4.56,498.2K,,,,"For 100% AgNO3, at 498 K, the departure from the recommended value is -1.0%.",
AgSCN-N(C3H7)4SCN,3.4-96.6,+E,330,380,,2.9202E-5,43767.63,,,,,
AgSCN-N(C3H7)4SCN,15.1-84.9,+E,330,380,,2.8396E-5,44371.56,,,,,
AgSCN-N(C3H7)4SCN,26.8-73.2,+E,330,380,,2.3915E-5,45458.37,,,,,
AgSCN-N(C3H7)4SCN,41.6-58.4,+E,330,380,,9.9695E-6,48825.71,,,,,
AlBr3,100,+E,373,523,1.5%,0.03491,13066.85,,,,,
AlBr3-HgBr2,66.67-33.33,+E,385,410,,2.317E-4,36907.26,,,,,
AlBr3-HgBr2,69.51-30.49,+E,385,410,,5.658E-4,33688.88,,,,,
AlBr3-HgBr2,71.87-28.13,+E,385,410,,5.78E-4,33201.85,,,,,
AlBr3-HgBr2,73.54-26.46,+E,385,410,,7.26E-4,32222.36,,,,,
AlBr3-HgBr2,76.94-23.06,+E,385,410,,7.36E-4,31465.46,,,,,
AlBr3-HgBr2,80.15-19.85,+E,385,410,,4.645E-4,32376.33,,,,,
AlBr3-HgBr2,84.80-15.20,+E,385,410,,0.002011,26146.25,,,,,
AlBr3-HgBr2,92.66-7.34,+E,385,410,,0.005633,20695.67,,,,,
AlBr3-HgBr2,100.0-0.0,+E,385,415,,0.03632,13004.51,,,,"For 100% AlBr3, the departures from the recommended data set are: 385 K, +2.0%, 415 K, +2.0%.",
AlBr3-KBr,66.67-33.33,+E,393,413,,0.006875,25284.34,,,,,
AlBr3-KBr,68.77-31.23,+E,383,413,,0.004546,26562.15,,,,,
AlBr3-KBr,71.22-28.78,+E,383,413,,0.003503,27365.49,,,,,
AlBr3-KBr,73.66-26.34,+E,383,413,,0.004652,26257.55,,,,,
AlBr3-KBr,75.66-24.34,+E,383,413,,0.003871,26634.95,,,,,
AlBr3-KBr,76.59-23.41,+E,383,413,,0.004033,26349.18,,,,,
AlBr3-KCl,66.7-33.3,DP,,,,41.603,353.2K,,,,,
AlBr3-KCl,66.7-33.3,+E,383.2,443.2,,0.00768327,24498.99,,,,,
AlBr3-KCl,100-0,+E,413.2,433.2,,0.0462149,12184.01,,,,"For 100% AlBr3, the departures from the recommended data set are: 415 K, +2.6%, 430 K, +3.4%.",
AlBr3-NaBr,66.67-33.33,+E,393,413,,0.004408,26641.65,,,,,
AlBr3-NaBr,69.62-30.38,+E,393,413,,0.004167,26713.19,,,,,
AlBr3-NaBr,73.7-26.3,+E,393,413,,0.01013,23560.92,,,,,
AlBr3-NaBr,75.46-24.54,+E,393,413,,0.007528,24448.36,,,,,
AlBr3-NH4Br,66.69-33.31,+E,395,420,,0.00585,25518.64,,,,,
AlBr3-NH4Br,70.90-29.10,+E,385,420,,0.00454,26212.36,,,,,
AlBr3-NH4Br,74.78-25.22,+E,385,420,,0.00626,24968.86,,,,,
AlBr3-NH4Br,75.63-24.37,+E,385,420,,0.00524,25398.56,,,,,
AlBr3-NH4Br,78.40-21.60,+E,385,420,,0.0073,23944.18,,,,,
AlBr3-NH4Br,100.0-0.0,+E,385,420,,0.0356,13071.45,,,,"For 100% AlBr3, the departures from the recommended data set are: 385 K, +2.0%, 420 K, +2.0%.",
AlBr3-SbBr3,0-100,+E,375,410,,0.01899,16297.37,,,,"For 100% SbBr3, the results have been advanced as the recommended data set.",
AlBr3-SbBr3,10-90,+E,373,413,,0.03572,15009.1,,,,,
AlBr3-SbBr3,20-80,+E,373,413,,0.02721,16685.65,,,,,
AlBr3-SbBr3,30-70,+E,373,413,,0.01787,18743.38,,,,,
AlBr3-SbBr3,40-60,+E,373,413,,0.002192,26544.58,,,,,
AlBr3-SbBr3,50-50,+E,373,413,,7.344E-4,30747.89,,,,,
AlBr3-SbBr3,60-40,+E,373,413,,6.679E-4,31080.95,,,,,
AlBr3-SbBr3,70-30,+E,373,413,,4.296E-4,32180.94,,,,,
AlBr3-SbBr3,80-20,+E,373,413,,0.00216471,25714.88,,,,,
AlBr3-SbBr3,90-10,+E,373,413,,0.014906,17211.17,,,,,
AlBr3-SbBr3,100-0,+E,413,433,,0.0466,12147.61,,,,"For 100% AlBr3, the departures from the recommended data set are: 415 K, +1.9%, 435 K, +3.9%.",
AlBr3-ZnBr2,66.7-33.3,+E,413.2,453.2,,1.4225E-4,43861.61,,,,,
AlBr3-ZnBr2,100-0,+E,415,435,,0.0466,12147.61,,,,"For 100% AlBr3, the departures from the recommended data set are: 415 K, +1.9%, 435 K, +3.9%.",
AlCl3,100,+E,469,559,1%,0.00228,19424.96,,,,,
AlCl3-KCl,0-100,+E,973,1173,,0.11402,21390.22,,,,,
AlCl3-KCl,5.5-94.5,+E,973,1173,,0.05288,26800.64,,,,,
AlCl3-KCl,11.5-88.5,+E,973,1173,,0.04071,27650.43,,,,,
AlCl3-KCl,18.35-81.65,+E,973,1173,,0.02845,29800.62,,,,,
AlCl3-KCl,25.7-74.3,+E,973,1173,,0.01967,31900.6,,,,,
AlCl3-KCl-NaCl,0-61.5-38.5,+E,973,1173,,0.0391,30180.53,,,,,
AlCl3-KCl-NaCl,0-70.6-29.4,+E,973,1173,,0.05141,28030.34,,,,,
AlCl3-KCl-NaCl,0-84.6-15.4,+E,973,1173,,0.07806,25240.4,,,,,
AlCl3-KCl-NaCl,5.1-58.4-36.5,+E,973,1173,,0.02665,31610.65,,,,,
AlCl3-KCl-NaCl,5.2-66.9-27.9,+E,973,1173,,0.0353,29710.66,,,,,
AlCl3-KCl-NaCl,5.3-80.1-14.6,+E,973,1173,,0.05335,26990.6,,,,,
AlCl3-KCl-NaCl,10.6-55.0-34.4,+E,973,1173,,0.01942,32820.68,,,,,
AlCl3-KCl-NaCl,10.9-62.9-26.2,+E,973,1173,,0.02568,31050.4,,,,,
AlCl3-KCl-NaCl,11.2-75.1-13.7,+E,973,1173,,0.03788,28570.5,,,,,
AlCl3-KCl-NaCl,16.92-51.08-32.0,+E,973,1173,,0.01121,36010.62,,,,,
AlCl3-KCl-NaCl,17.2-58.4-24.4,+E,973,1173,,0.01713,33250.39,,,,,
AlCl3-KCl-NaCl,17.7-69.6-12.7,+E,973,1173,,0.02466,31070.9,,,,,
AlCl3-KCl-NaCl,24.2-46.6-29.2,+E,973,1173,,0.00859,37430.69,,,,,
AlCl3-KCl-NaCl,24.4-53.4-22.2,+E,973,1173,,0.01108,35910.62,,,,,
AlCl3-KCl-NaCl,25.0-63.5-11.5,+E,973,1173,,0.01531,33770.47,,,,,
AlCl3-LiCl-NaCl,50-20-30,+E,372,534,,0.044131,15871.85,,,,,
AlCl3-LiCl-NaCl,50-10-40,+E,383,556,,0.053764,14981.06,,,,,
AlCl3-LiCl-NaCl,50-30-20,+E,384,534,,0.044825,15997.79,,,,,
AlCl3-LiCl-NaCl,50-40-10,+E,424,574,,0.049507,15836.7,,,,"In a related study, the results for 100% NaCl have been advanced as the recommended data set. (Molten Salts Standards Program)",
AlCl3-LiCl-NaCl,60-30-10,+E,383,552,,0.031865,18000.71,,,,,
AlCl3-LiCl-NaCl,60-20-20,+E,384,532,,0.03322,17659.7,,,,,
AlCl3-LiCl-NaCl,60-10-30,+E,387,572,,0.032341,17488.16,,,,,
AlCl3-LiCl-NaCl,70-20-10,+E,439,533,,0.032341,17488.16,,,,,
AlCl3-LiCl-NaCl,70-10-20,+E,439,553,,0.036547,17052.6,,,,,
AlCl3-LiCl-NaCl,80-10-10,+E,475,533,,0.02838,16209.09,,,,,
AlCl3-NaCl,50.2-49.8,+E,480,570,,0.08993,13501.99,,,,,
AlCl3-NaCl,50.7-49.3,+E,480,540,,0.06892,14225.42,,,,,
AlCl3-NaCl,51.8-48.2,+E,480,540,,0.05692,14903.24,,,,,
AlCl3-NaCl,56.4-43.6,+E,480,540,,0.05615,15064.33,,,,,
AlCl3-NaCl,59.4-40.6,+E,480,570,,0.08639,13941.32,,,,,
AlCl3-NaCl,60.9-39.1,+E,480,570,,0.11804,12857.65,,,,,
AlCl3-NaCl,65.2-34.8,+E,480,570,,0.09684,13840.9,,,,,
AlCl3-NaCl,65.5-34.5,+E,500,570,,0.09778,13953.87,,,,,
AlF3-LiF,0.0-100.0,+E,1150,1340,,0.18549,23472.63,,,,"For 100% LiF, the departures from the recommended data set are: 1150 K, +27%, 1320 K, +22%.",
AlF3-LiF,10.0-90.0,+E,1240,1390,,0.10194,30373.,,,,,
AlF3-LiF,22.5-77.5,+E,1180,1350,,0.01192,54072.83,,,,,
AlF3-LiF,25.0-75.0,+E,1180,1340,,0.0224,48079.15,,,,,
AlF3-LiF,30.0-70.0,+E,1240,1380,,0.01691,49932.69,,,,,
AlF3-LiF,35.0-65.0,+E,1210,1330,,0.02949,43137.76,,,,,
AlF3-NaF,0.00-100.00,+E,1290,1470,,0.0397,41133.59,,,,"For 100% NaF, the departures from the recommended data set are: 1290 K, +31%, 1370 K, +20%.",
AlF3-NaF,4.54-95.46,+E,1280,1460,,0.0737,33773.39,,,,,
AlF3-NaF,10.00-90.00,+E,1240,1460,,0.0462,40507.24,,,,,
AlF3-NaF,16.67-83.33,+E,1260,1410,,0.0363,44654.07,,,,,
AlF3-NaF,21.42-78.58,+E,1290,1460,,0.0172,53685.38,,,,,
AlF3-NaF,25.00-75.00,+E,1310,1440,,0.01736,53945.21,,,,,
AlF3-NaF,28.96-71.04,+E,1300,1450,,0.0284,46785.43,,,,,
AlF3-NaF,37.99-62.01,+E,1170,1370,,0.0352,38494.28,,,,,
AlF3-Na3AlF6,0-100,+E,1303,1343,,0.1856,20769.72,,,,"For 100% Na3AlF6, the departures from the recommended data set are: 1300 K, -41%, 1340 K, -40%.",
AlF3-Na3AlF6,8.3-91.7,+E,1300,1340,,0.0833865,29279.29,,,,,
AlF3-Na3AlF6,15.7-84.3,+E,1300,1340,,0.0785903,29747.06,,,,,
AlF3-Na3AlF6,23.5-76.5,+E,1300,1340,,0.0714934,30503.54,,,,,
AlF3-Na3AlF6,28.2-71.8,+E,1300,1340,,0.0842072,28367.58,,,,,
AlI3,100,+E,480,660,3%,0.06338,14547.17,,,,,
Al2O3-CaF2,7.8-92.2,DP,,,,1.,1773K,,,,,
Al2O3-CaF2,16.1-83.9,DP,,,,1.5,1773K,,,,,
Al2O3-CaF2,18.6-81.4,DP,,,,1.5,1673K,,,,,
Al2O3-CaF2,24.7-75.3,DP,,,,2.,1673K,,,,,
Al2O3-CaF2,28.3-71.7,DP,,,,0.3,1873K,,,,,
Al2O3-CaF2,29.2-70.8,DP,,,,3.,1773K,,,,,
Al2O3-CaF2,33.8-66.2,+E,1773,1873,,7.402E-19,635856.47,,,,,
Al2O3-CaF2,38.5-61.5,DP,,,,0.6,1873K,,,,,
Al2O3-CaF2,40.4-59.6,DP,,,,0.8,1873K,,,,,
Al2O3-CaF2,43.4-56.6,DP,,,,1.,1873K,,,,,
Al2O3-NaF,40-10 Al2O3,I2,1673,,,-89.9,14.27,-0.038,,,,
Al2O3-Na3AlF6,7.9-92.1,+E,1280,1380,,0.0225944,49593.78,,,,"In a related study, the results for 100% Na3AlF6 have been advanced as the recommended data set.",
Al2O3-Na3AlF6,15.2-84.8,+E,1250,1360,,0.0217493,51100.05,,,,,
Al2O3-Na3AlF6,21.9-78.1,+E,1240,1360,,0.0254018,51459.88,,,,,
Al2O3-Na3AlF6,24.0-76.0,+E,1280,1460,,0.0389771,48623.08,,,,The results for 24 and 30 mol % Al2)3 appear to be approx. 12% too high based on comparisons with the recommended data set for Na3AlF6.,
Al2O3-Na3AlF6,30.0-70.0,+E,1300,1480,,0.0416906,51493.35,,,,,
As2O3,100,+E,601,703,,0.01679,92932.38,,,,,Function produces unexpectedly large value(s).
Ba(NO2)2,100,+E,553,593,5%,0.0012906,47347.35,,,,,
Ba(NO2)2-KNO2,18-82,+E,613,623,,0.0308093,24950.45,,,,,
Ba(NO2)2-KNO2,26-74,+E,583,623,,0.0292876,26082.66,,,,,
Ba(NO2)2-KNO2,30-70,+E,583,623,,0.0191876,28783.47,,,,,
Ba(NO2)2-KNO2,40-60,+E,583,623,,0.00720668,34798.07,,,,,
Ba(NO2)2-KNO2,50-50,+E,583,623,,0.00522441,37533.62,,,,,
Ba(NO2)2-KNO2,60-40,+E,593,623,,0.00507827,38659.13,,,,,
Ba(NO2)2-KNO2,70-30,+E,593,623,,0.0049975,39556.2,,,,,
Ba(NO2)2-KNO2,80-20,+E,593,623,,0.0075989,38229.85,,,,,
Ba(NO2)2-KNO2,83-17,+E,583,623,,0.0237487,32592.65,,,,,
Ba(NO2)2-KNO2,90-10,DP,,,,20.2,583K,,,,,
Ba(NO2)2-KNO2,100-0,+E,553,593,,0.0012906,47347.35,,,,"For 100% Ba(NO2)2, the results have been advanced as the recommended data set.",
Ba(NO2)2-KNO2-NaNO2,21.2-42.4-36.4,+E,453,621,,0.05259,24586.43,,,,,
Ba(NO2)2-KNO2-NaNO2,56.3-6.2-37.5,+E,473,518,,3.648E-6,67490.72,,,,,
Ba(NO2)2-KNO2-NaNO2,56.3-6.2-37.5,+E,518,598,,0.01305,32499.35,,,,,
Ba(NO2)2-NaNO2,20-80,+E,513,613,,0.050619,22013.65,,,,,
Ba(NO2)2-NaNO2,30-70,+E,513,613,,0.0425687,23928.7,,,,,
Ba(NO2)2-NaNO2,40-60,+E,513,613,,0.0418772,24998.56,,,,,
Ba(NO2)2-NaNO2,43-57,+E,513,593,,0.0314318,26673.03,,,,,
Ba(NO2)2-NaNO2,50-50,+E,513,593,,0.0325,27116.96,,,,,
Ba(NO2)2-NaNO2,60-40,+E,513,593,,0.01975,30380.53,,,,,
Ba(NO2)2-NaNO2,66-34,DP,,,,33.,513K,,,,,
Ba(NO2)2-NaNO2,66-34,+E,533,593,,0.0323339,28707.74,,,,,
Ba(NO2)2-NaNO2,70-30,+E,533,593,,0.02152,30902.7,,,,,
Ba(NO2)2-NaNO2,81-19,+E,533,593,,0.00614624,37916.88,,,,,
Ba(NO2)2-NaNO2,100-0,+E,553,593,,0.0012906,47347.35,,,,"For 100% Ba(NO2)2, the results have been advanced as the recommended data set.",
Ba(NO3)2-KNO3,0-100,+E,613,693,,0.1,17047.16,,,,"For 100% KNO3, the departures from the recommended data set are: 613 K -2.2%, 693 K 1.0%.",
Ba(NO3)2-KNO3,5-95,+E,593,693,,0.09085,18078.53,,,,,
Ba(NO3)2-KNO3,11-89,+E,573,693,,0.08982,18670.99,,,,,
Ba(NO3)2-KNO3,18-82,+E,613,693,,0.102,18609.49,,,,,
Ba(NO3)2-KNO3,23-77,+E,633,693,,0.1104,18868.48,,,,,
Ba(NO3)2-KNO3-NaNO3,2.8-50.0-47.2,+E,503,727,,0.05284,20393.16,,,,,
BaCl2,100,+E,1210,1320,1%,0.07993,39521.55,,,,,
BaCl2-CsCl,0-100,+E,930,1030,,0.03448,28342.89,,,,"For 100% CsCl, the departures from the recommended data set are: 930 K, -11%, 1030 K, -16%.",
BaCl2-CsCl,11.42-88.58,+E,1070,1250,,0.13769,19196.51,,,,,
BaCl2-CsCl,24.32-75.68,+E,1000,1240,,0.10483,24368.02,,,,,
BaCl2-CsCl,33.02-66.98,+E,1000,1190,,0.06616,30539.53,,,,,
BaCl2-CsCl,43.75-56.25,+E,1030,1200,,0.05559,33849.13,,,,,
BaCl2-CsCl,53.37-46.63,+E,1030,1200,,0.04584,37560.4,,,,,
BaCl2-CsCl,64.83-35.17,+E,1100,1240,,0.02607,44836.49,,,,,
BaCl2-CsCl,75.28-24.72,+E,1130,1290,,0.02928,44723.52,,,,,
BaCl2-CsCl,84.78-15.22,+E,1180,1290,,0.02799,47623.08,,,,,
BaCl2-CsCl,100-0,+E,1240,1290,,0.0357,48146.09,,,,"For 100% BaCl2, the departures from the recommended data set are: 1240 K, +3.2%, 1290 K, -0.1%.",
BaCl2-LiCl,10.2-89.8,+E,1010,1160,,0.18963,16355.53,,,,,
BaCl2-LiCl,25.0-75.0,+E,1020,1170,,0.23561,15941.31,,,,,
BaCl2-LiCl,39.4-60.6,+E,1010,1170,,0.2765,17066.82,,,,,
BaCl2-LiCl,53.3-46.7,+E,1070,1220,,0.18155,24355.47,,,,,
BaCl2-LiCl,68.0-32.0,+E,1130,1250,,0.20147,25778.06,,,,,
BaCl2-LiCl,85.0-15.0,+E,1160,1230,,0.13508,32221.52,,,,,
BaCl2-LiCl,100.0-0.0,+E,1240,1290,,0.0357,48146.09,,,,"For 100% BaCl2, the departures from the recommended data set are: 1240 K, +3.2%, 1290 K, -0.1%.",
BaCl2-MgCl2,0-100,+E,1010,1130,,0.1317,23460.08,,,,"For 100% MgCl2, the departures from the recommended data set are: 1010 K, -2.3%, 1130 K, 0.0%.",
BaCl2-MgCl2,0-100,+E,1023,1073,,0.2192,18929.99,,,,,
BaCl2-MgCl2,10-90,+E,973,1073,,0.1013,25641.65,,,,,
BaCl2-MgCl2,20-80,+E,973,1073,,0.1156,25083.5,,,,,
BaCl2-MgCl2,30-70,+E,973,1073,,0.1005,27239.97,,,,,
BaCl2-MgCl2,40-60,+E,973,1073,,0.091698,29317.78,,,,,
BaCl2-MgCl2,50-50,+E,973,1073,,0.030581,40446.99,,,,,
BaCl2-MgCl2,60-40,+E,1023,1073,,0.02574,43978.34,,,,,
BaCl2-MgCl2,100-0,+E,1250,1350,,0.0934,38730.26,,,,"For 100% BaCl2, the departures from the recommended data set are: 1250 K, +9.5%, 1350 K, +10.4%.",
BaCl2-NaCl,0-100,+E,1100,1140,,0.01134,44154.49,,,,"For 100% NaCl, the departures from the recommended data set are: 1100 K, +44%,1140 K, +33%.",
BaCl2-NaCl,19-81,+E,1030,1140,,0.0539,33039.93,,,,,
BaCl2-NaCl,26-74,+E,1000,1140,,0.07615,30870.49,,,,,
BaCl2-NaCl,33-67,+E,1000,1140,,0.1682,24745.01,,,,,
BaCl2-NaCl,40-60,+E,1000,1140,,0.1025,30223.63,,,,,
BaCl2-NaCl,46-54,+E,1000,1140,,0.06797,34609.79,,,,,
BaCl2-NaCl,53-47,+E,1030,1140,,0.1116,30586.81,,,,,
