Density in g * cm-3

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
AgBr-NaBr,50-50,P1,930,1060,,4.626,-0.001004,,,,,
AgBr-NaCl,50-50,P1,980,1080,,4.2101,-8.933E-4,,,,,
AgBr-NaCl,0-100 AgBr,I3,1073,,,1.57,0.0344,-7.703E-5,1.014E-6,,"For both 100% NaCl and 100% AgBr at 1073 K, the departure from the recommendeddata set is, respectively, -0.8% and -0.1%.",
AgBr-RbBr,50-50,P1,810,1050,,4.727,-0.001156,,,,,
AgBr-RbCl,50-50,P1,820,1060,,4.4345,-0.0011046,,,,,
AgBr-RbCl,100-0,P1,720,820,,6.321,-0.00105,,,,"For 100% AgBr, the departures from the recommended data set are: 720 K, +0.05%, 820 K, +0.04%.",
AgCl,100,P1,759,1073,1%,5.505,-8.7E-4,,,,"AgCl: Recommended data set, shift from previous evaluation.",
AgCl-AgNO3,0-100,P1,487,589,,4.5218,-0.0011434,,,,"For 100% AgNO3, the departures from the recommended data set are: 490 K, 0.0%,590 K, -0.3%.",
AgCl-AgNO3,5.7-94.3,P1,500,580,,4.5514,-0.001136,,,,,
AgCl-AgNO3,16.1-83.9,P1,460,600,,4.6599,-0.0011631,,,,,
AgCl-AgNO3,23.2-76.8,P1,460,580,,4.7017,-0.0011365,,,,,
AgCl-AgNO3,34.5-65.5,P1,500,580,,4.7896,-0.0011007,,,,,
AgCl-AgNO3,42.8-57.2,P1,540,580,,4.8674,-0.001107,,,,,
AgCl-Ag2S,0-100,P1,1173,1273,,7.5329,-9.132E-4,,,,"For 100% Ag2S, the results have been advanced as the recommended data set.",
AgCl-Ag2S,2.02-97.98,P1,1130,1210,,9.4488,-0.0025997,,,,,
AgCl-Ag2S,14.50-85.50,P1,970,1210,,6.9369,-5.199E-4,,,,,
AgCl-Ag2S,21.69-78.31,P1,970,1210,,6.8323,-5.5E-4,,,,,
AgCl-Ag2S,34.41-65.59,P1,970,1210,,6.5069,-4.5E-4,,,,,
AgCl-Ag2S,46.56-53.44,P1,950,1210,,6.5301,-6.701E-4,,,,,
AgCl-Ag2S,60.86-39.14,P1,770,1050,,6.2184,-7.3E-4,,,,,
AgCl-Ag2S,67.70-32.30,P1,770,1050,,6.1122,-7.399E-4,,,,,
AgCl-Ag2S,69.99-30.01,P1,770,1050,,6.0549,-7.501E-4,,,,,
AgCl-Ag2S,79.63-20.37,P1,770,1050,,6.0687,-8.7E-4,,,,,
AgCl-Ag2S,94.30-5.70,P1,770,1050,,5.6412,-8.5E-4,,,,,
AgCl-Ag2S,100.0-0.0,P1,770,1050,,5.5045,-8.698E-4,,,,"For 100% AgCl, the results have been advanced as the recommended data set.",
AgCl-Ag2Se,0-100,P1,1170,1250,,8.4199,-9.746E-4,,,,"For 100% Ag2Se, the results have been advanced as the recommended data set.",
AgCl-Ag2Se,30-70,P1,1090,1250,,7.1012,-5.093E-4,,,,,
AgCl-Ag2Se,40-60,P1,970,1250,,7.0975,-6.825E-4,,,,,
AgCl-Ag2Se,50-50,P1,970,1250,,6.8537,-7.022E-4,,,,,
AgCl-Ag2Se,60-40,P1,970,1250,,6.6984,-8.273E-4,,,,,
AgCl-Ag2Se,70-30,P1,970,1250,,6.4121,-8.427E-4,,,,,
AgCl-Ag2Se,90-10,P1,970,1250,,6.0941,-0.0011108,,,,,
AgCl-Ag2Se,100-0,P1,770,1250,,5.4719,-8.854E-4,,,,"For 100% AgCl, the departures from the recommended data set are: 770 K, -0.2%,1250 K, +0.1%.",
AgCl-Ag2Te,0-100,P1,1230,1250,,8.4178,-8.125E-4,,,,"For 100% Ag2Te, the results have been advanced as the recommended data set.",
AgCl-Ag2Te,15.00-85.00,P1,1090,1250,,8.0119,-7.577E-4,,,,,
AgCl-Ag2Te,22.50-77.50,P1,1030,1270,,7.9781,-8.807E-4,,,,,
AgCl-Ag2Te,33.00-67.00,P1,970,1250,,7.6632,-8.465E-4,,,,,
AgCl-Ag2Te,45.00-55.00,P1,870,1250,,7.4291,-8.967E-4,,,,,
AgCl-Ag2Te,60.00-40.00,P1,850,1250,,6.9222,-8.465E-4,,,,,
AgCl-Ag2Te,67.50-32.50,P1,770,1250,,6.6613,-8.281E-4,,,,,
AgCl-Ag2Te,75.00-25.00,P1,770,1250,,6.4556,-8.868E-4,,,,,
AgCl-Ag2Te,82.50-17.50,P1,770,1250,,6.2636,-9.538E-4,,,,,
AgCl-Ag2Te,90.00-10.00,P1,770,1250,,5.8137,-7.993E-4,,,,,
AgCl-Ag2Te,92.64-7.36,P1,770,1250,,5.835,-9.4E-4,,,,,
AgCl-Ag2Te,96.06-3.04,P1,770,1250,,5.5677,-8.638E-4,,,,,
AgCl-Ag2Te,100.0-0.0,P1,770,1250,,5.4719,-8.854E-4,,,,"For 100% AgCl, the departures from the recommended data set are: 770 K, -0.2%,1250 K, +0.1%.",
AgCl-KBr,0-100 KBr,I4,1073,,,4.519,-0.0457,4.581E-4,-3.882E-6,1.403E-8,"For both 100% AgCl and 100% KBr at 1073 K, the departure from the recommended data set is, respectively, +0.2% and -1.0%.",
AgCl-KCl,47.8-52.2,P1,840,1000,,3.526,-8.8E-4,,,,,
AgCl-KCl,68.0-32.0,P1,660,900,,4.263,-9.6E-4,,,,,
AgCl-KCl,80.6-19.4,P1,720,940,,4.723,-9.5E-4,,,,,
AgCl-KCl,100-0,P1,760,900,,5.519,-9.4E-4,,,,"For 100% AgCl, the departues from the recommended data set are: 770 K, -0.8%, 900 K, -1%",
AgCl-NaBr,0-100 NaBr,I4,1073,,,4.576,-0.03794,3.515E-4,-3.35E-6,1.337E-8,"For both 100% AgCl and 100% NaBr at 1073 K, the departure from the recommendeddata set is, respectively, +1.5% and -0.8%.",
AgCl-PbCl2,0-100,P1,790,980,,6.112,-0.0015,,,,"For 100% PbCl2, the results have been advanced as the recommended data set.",
AgCl-PbCl2,19.4-80.6,P1,800,970,,6.056,-0.00145,,,,,
AgCl-PbCl2,29.1-70.9,P1,750,950,,6.022,-0.00142,,,,,
AgCl-PbCl2,38.9-61.1,P1,720,940,,5.948,-0.00134,,,,,
AgCl-PbCl2,46.6-53.4,P1,720,950,,5.893,-0.00128,,,,,
AgCl-PbCl2,57.4-42.6,P1,660,970,,5.864,-0.00126,,,,,
AgCl-PbCl2,79.7-20.3,P1,710,930,,5.682,-0.00108,,,,,
AgCl-PbCl2,100-0,P1,760,900,,5.519,-9.4E-4,,,,"For 100% AgCl, the departues from the recommended data set are: 770 K, -0.8%, 900 k, -1%",
AgClO3,100,P1,478,485,1.5%,8.9502,-0.01056,,,,,
AgClO3-LiNO3,50-50,P1,480,520,,3.4849,-0.0010703,,,,,
AgI,100,P1,870,1075,1%,6.415,-0.00101,,,,,
AgI-AgNO3,0-100,DP,,,,3.954,498K,,,,"For 100% AgNO3 at 498 K, the departure from the recommended data set is -0.06%.",
AgI-AgNO3,7.4-92.6,P1,420,500,,5.2239,-0.0022402,,,,,
AgI-AgNO3,15.3-84.7,P1,420,500,,5.1927,-0.0018038,,,,,
AgI-AgNO3,19.4-80.6,P1,420,500,,5.5315,-0.0023206,,,,,
AgI-AgNO3,23.7-76.3,P1,420,500,,5.6361,-0.0023322,,,,,
AgI-AgNO3,28-72,P1,420,500,,5.688,-0.0022441,,,,,
AgI-AgNO3,32.5-67.5,P1,420,500,,5.8212,-0.0023362,,,,,
AgI-AgNO3,37.2-62.8,P1,420,500,,5.9339,-0.0023797,,,,,
AgI-AgNO3,42-58,P1,420,500,,6.0287,-0.0023878,,,,,
AgI-AgNO3,47-53,P1,420,500,,6.0884,-0.0023203,,,,,
AgI-AgNO3,52-48,P1,420,500,,6.2888,-0.0026041,,,,,
AgI-Ag2S,0-100,P1,1173,1273,,7.5329,-9.132E-4,,,,"For 100% Ag2S, the results have been advanced as the recommended data set.",
AgI-Ag2S,20-80,P1,1130,1250,,7.4651,-9.646E-4,,,,,
AgI-Ag2S,35-65,P1,1130,1250,,7.5082,-0.001169,,,,,
AgI-Ag2S,50-50,P1,1090,1250,,6.7416,-6.987E-4,,,,,
AgI-Ag2S,60-40,P1,1090,1250,,6.7956,-8.549E-4,,,,,
AgI-Ag2S,70-30,P1,1050,1250,,6.7032,-9.274E-4,,,,,
AgI-Ag2S,85-15,P1,970,1250,,6.4086,-8.018E-4,,,,,
AgI-Ag2S,100-0,P1,890,1250,,6.4109,-0.0010175,,,,"For 100% AgI, the departures from the recommended data set are: 890 K, -0.01%,1250 K, -0.03%.",
AgI-Ag2Te,0-100,P1,1230,1250,,8.4178,-8.125E-4,,,,"For 100% Ag2Te, the results have been advanced as the recommended data set.",
AgI-Ag2Te,20-80,P1,1120,1240,,7.8607,-6.93E-4,,,,,
AgI-Ag2Te,40-60,P1,1120,1240,,7.4642,-7.231E-4,,,,,
AgI-Ag2Te,50-50,P1,1100,1240,,7.4962,-9.192E-4,,,,,
AgI-Ag2Te,70-30,P1,1040,1240,,7.0626,-8.905E-4,,,,,
AgI-Ag2Te,80-20,P1,1000,1240,,6.6858,-8.173E-4,,,,,
AgI-Ag2Te,90-10,P1,920,1240,,6.6967,-0.0010289,,,,,
AgI-Ag2Te,100-0,P1,900,1240,,6.4109,-0.0010175,,,,"For 100% AgI, the departures from the recommended data set are: 890 K, -0.01%,1250 K, -0.03%.",
AgNO3,100,P1,483,633,1%,4.503,-0.001098,,,,,
AgNO3-Ba(NO3)2,97.44-2.56,P1,540,590,,4.48596,-0.0011427,,,,,
AgNO3-Ba(NO3)2,98.48-1.52,P1,490,590,,4.49724,-0.0011378,,,,,
AgNO3-Ba(NO3)2,100-0,P1,490,590,,4.51914,-0.0011415,,,,"For 100% AgNO3, the departures from the recommended data set are: 490 K, -0.1%, 590 K, -0.2%.",
AgNO3-Ca(NO3)2,89.3-10.7,P1,485,590,,4.17118,-0.00105217,,,,,
AgNO3-Ca(NO3)2,90-10,P1,485,590,,4.19018,-0.00105217,,,,,
AgNO3-Ca(NO3)2,91-9,P1,485,590,,4.22265,-0.00106117,,,,,
AgNO3-Ca(NO3)2,92-8,P1,485,590,,4.25588,-0.0010714,,,,,
AgNO3-Ca(NO3)2,93-7,P1,485,590,,4.28659,-0.00107687,,,,,
AgNO3-Ca(NO3)2,94-6,P1,485,590,,4.32044,-0.00108834,,,,,
AgNO3-Ca(NO3)2,95-5,P1,485,590,,4.3522,-0.00109593,,,,,
AgNO3-Ca(NO3)2,96-4,P1,485,590,,4.38472,-0.00110475,,,,,
AgNO3-Ca(NO3)2,97-3,P1,485,590,,4.41756,-0.00111428,,,,,
AgNO3-Ca(NO3)2,98-2,P1,485,590,,4.44985,-0.00112293,,,,,
AgNO3-Ca(NO3)2,99-1,P1,485,590,,4.48142,-0.00113016,,,,,
AgNO3-Ca(NO3)2,100-0,P1,485,590,,4.51403,-0.00113916,,,,"For 100% AgNO3, the departures from the recommended data set are: 490 K, -0.1%, 590 K, -0.2%.",
AgNO3-Cd(NO3)2,40-60,P1,485,560,,4.04352,-0.00110794,,,,,
AgNO3-Cd(NO3)2,50-50,P1,440,560,,4.11302,-0.00110794,,,,,
AgNO3-Cd(NO3)2,60-40,P1,445,560,,4.18407,-0.00110794,,,,,
AgNO3-Cd(NO3)2,61-39,P1,455,560,,4.19126,-0.00110794,,,,,
AgNO3-Cd(NO3)2,70-30,P1,465,560,,4.25666,-0.00110794,,,,,
AgNO3-Cd(NO3)2,80-20,P1,485,560,,4.33081,-0.00110794,,,,,
AgNO3-Cd(NO3)2,90-10,P1,495,560,,4.4065,-0.00110794,,,,,
AgNO3-Cd(NO3)2,100-0,P1,505,560,,4.48374,-0.00110794,,,,"For 100% AgNO3, the departures from the recommended data set are: 505 K, -0.6%, 560 K, -0.6%.",
AgNO3-CsNO3,0-100,P1,700,790,,3.6294,-0.00118994,,,,"For 100% CsNO3, the departures from the recommended data set are: 700 K, -0.6%, 790 K, -0.7%.",
AgNO3-CsNO3,10-90,P1,690,750,,3.6936,-0.00119089,,,,,
AgNO3-CsNO3,20-80,P1,630,710,,3.7596,-0.00119184,,,,,
AgNO3-CsNO3,30-70,P1,560,690,,3.8291,-0.00119279,,,,,
AgNO3-CsNO3,40-60,P1,500,670,,3.9039,-0.00119374,,,,,
AgNO3-CsNO3,50-50,P1,460,670,,3.9856,-0.00119469,,,,,
AgNO3-CsNO3,60-40,P1,470,660,,4.0761,-0.00119654,,,,,
AgNO3-CsNO3,67.5-32.5,P1,500,650,,4.1507,-0.00119635,,,,,
AgNO3-CsNO3,70-30,P1,480,650,,4.1771,-0.00119659,,,,,
AgNO3-CsNO3,80-20,P1,490,640,,4.2903,-0.00119754,,,,,
AgNO3-CsNO3,90-10,P1,500,640,,4.4175,-0.00119849,,,,,
AgNO3-CsNO3,100-0,P1,500,650,,4.5605,-0.00119945,,,,"For 100% AgNO3, the departures from the recommended data set are: 500 K, +0.2%, 650 K, -0.2%.",
AgNO3-HgI2,30-70,P1,450,510,,6.2743,-0.0016153,,,,,
AgNO3-HgI2,35-65,P1,410,510,,6.1625,-0.0014549,,,,,
AgNO3-HgI2,37.5-62.5,P1,400,510,,6.1413,-0.0014434,,,,,
AgNO3-HgI2,40-60,P1,390,510,,6.1357,-0.001463,,,,,
AgNO3-HgI2,42.5-57.5,P1,390,510,,6.1269,-0.0014532,,,,,
AgNO3-HgI2,45-55,P1,390,510,,6.0709,-0.0014002,,,,,
AgNO3-HgI2,47.5-52.5,P1,390,510,,6.0299,-0.0013533,,,,,
AgNO3-HgI2,50-50,P1,380,510,,5.9756,-0.0014503,,,,,
AgNO3-HgI2,52.5-47.5,P1,370,510,,5.9126,-0.0013627,,,,,
AgNO3-HgI2,55-45,P1,370,510,,5.867,-0.0013937,,,,,
AgNO3-HgI2,60-40,P1,360,510,,5.751,-0.0014339,,,,,
AgNO3-HgI2,62.5-37.5,P1,370,510,,5.696,-0.0013931,,,,,
AgNO3-HgI2,67.5-32.5,P1,380,510,,5.633,-0.0014464,,,,,
AgNO3-HgI2,70-30,P1,380,510,,5.5599,-0.0013774,,,,,
AgNO3-HgI2,75-25,P1,370,510,,5.4362,-0.0013286,,,,,
AgNO3-HgI2,85-15,P1,370,510,,5.2677,-0.0012576,,,,,
AgNO3-HgI2,100-0,P1,490,590,,4.6292,-0.0012472,,,,"For 100% AgNO3, the departures from the recommended data set are: 490 K, +1.3%, 590 K, +1.0%.",
AgNO3-KNO3,0-100,P1,610,670,,2.305,-7.005E-4,,,,"For 100% KNO3, the departures from the recommended data set are: 620 K, +1.1%,670 K, +0.8%.",
AgNO3-KNO3,10-90,P1,593,653,,2.534,-8.25E-4,,,,,
AgNO3-KNO3,20-80,P1,553,653,,2.743,-8.9E-4,,,,,
AgNO3-KNO3,30-70,P1,523,643,,2.973,-9.94E-4,,,,,
AgNO3-KNO3,40-60,P1,483,643,,3.185,-0.00105,,,,,
AgNO3-KNO3,50-50,P1,433,643,,3.386,-0.00106,,,,,
AgNO3-KNO3,60-40,P1,433,643,,3.602,-0.00109,,,,,
AgNO3-KNO3,63-37,P1,490,640,,3.667,-0.001095,,,,,
AgNO3-KNO3,70-30,P1,433,639,,3.817,-0.0011,,,,,
AgNO3-KNO3,80-20,P1,453,637,,4.039,-0.00111,,,,,
AgNO3-KNO3,90-10,P1,473,633,,4.308,-0.00118,,,,,
AgNO3-KNO3,100-0,P1,490,630,,4.487,-0.00108,,,,"For 100% AgNO3, the results have been advanced as the recommended data set.",
AgNO3-LiNO3,0-100,P1,525,673,,2.1057,-5.92E-4,,,,"For 100% LiNO3, the departures from the recommended data set are: 530 K, +0.7%, 670 K, +0.4%.",
AgNO3-LiNO3,10-90,P1,523,662,,2.3492,-6.11E-4,,,,,
AgNO3-LiNO3,20-80,P1,513,623,,2.6359,-7.23E-4,,,,,
AgNO3-LiNO3,30-70,P1,503,619,,2.8897,-7.75E-4,,,,,
AgNO3-LiNO3,40-60,P1,493,617,,3.1637,-8.69E-4,,,,,
AgNO3-LiNO3,50-50,P1,473,615,,3.395,-9.07E-4,,,,,
AgNO3-LiNO3,60-40,P1,463,613,,3.6925,-0.001061,,,,,
AgNO3-LiNO3,70-30,P1,453,613,,3.8696,-0.001018,,,,,
AgNO3-LiNO3,80-20,P1,453,613,,4.0901,-0.001059,,,,,
AgNO3-LiNO3,90-10,P1,473,613,,4.3095,-0.001092,,,,,
AgNO3-LiNO3,100-0,P1,483,633,,4.503,-0.001098,,,,"For 100% AgNO3, the results have been advanced as the recommended data set.",
AgNO3-Mg(NO3)2,90-10,P1,485,590,,4.1905,-0.0010813,,,,,
AgNO3-Mg(NO3)2,91-9,P1,485,590,,4.2251,-0.0010908,,,,,
AgNO3-Mg(NO3)2,92-8,P1,485,590,,4.2558,-0.0010929,,,,,
AgNO3-Mg(NO3)2,93-7,P1,485,590,,4.2894,-0.0011003,,,,,
AgNO3-Mg(NO3)2,94-6,P1,485,590,,4.3205,-0.0011033,,,,,
AgNO3-Mg(NO3)2,95-5,P1,485,590,,4.3539,-0.0011106,,,,,
AgNO3-Mg(NO3)2,96-4,P1,485,590,,4.3849,-0.001113,,,,,
AgNO3-Mg(NO3)2,97-3,P1,485,590,,4.418,-0.0011198,,,,,
AgNO3-Mg(NO3)2,98-2,P1,485,590,,4.4501,-0.0011125,,,,,
AgNO3-Mg(NO3)2,99-1,P1,485,590,,4.4844,-0.0011335,,,,,
AgNO3-Mg(NO3)2,100-0,P1,485,590,,4.5147,-0.0011348,,,,"For 100% AgNO3, the departures from the recommended data set are: 490 K, -0.1%, 590 K, -0.2%.",
AgNO3-NaNO3,0-100,P1,583,673,,2.3569,-7.5E-4,,,,"For 100% NaNO3, the departures from the recommended data set are: 590 K, +0.8%, 670 K, 0.0%.",
AgNO3-NaNO3,20-80,P1,573.2,633.2,,2.8,-8.6E-4,,,,,
AgNO3-NaNO3,40-60,P1,553.2,623.2,,3.2373,-9.6E-4,,,,,
AgNO3-NaNO3,60-40,P1,523.2,621.2,,3.6923,-0.00107,,,,,
AgNO3-NaNO3,80-20,P1,493.2,615.2,,4.1045,-0.0011,,,,,
AgNO3-NaNO3,100-0,P1,483,633,,4.503,-0.001098,,,,"For 100% AgNO3, the results have been advanced as the recommended data set.",
AgNO3-RbNO3,0-100,P1,600,640,,3.109,-0.001001,,,,"For 100% RbNO3, the departures from the recommended data set are: 600 K, +0.5%, 640 K, +0.6%.",
AgNO3-RbNO3,10-90,P1,553,653,,3.228,-0.00105,,,,,
AgNO3-RbNO3,20-80,P1,513,643,,3.384,-0.00114,,,,,
AgNO3-RbNO3,30-70,P1,453,643,,3.519,-0.001185,,,,,
AgNO3-RbNO3,40-60,P1,433,633,,3.655,-0.00121,,,,,
AgNO3-RbNO3,50-50,P1,433,623,,3.789,-0.00122,,,,,
AgNO3-RbNO3,60-40,P1,433,633,,3.922,-0.00121,,,,,
AgNO3-RbNO3,70-30,P1,433,623,,4.061,-0.0012,,,,,
AgNO3-RbNO3,80-20,P1,463,623,,4.194,-0.00116,,,,,
AgNO3-RbNO3,90-10,P1,463,613,,4.329,-0.001107,,,,,
AgNO3-RbNO3,100-0,P1,490,630,,4.463,-0.001036,,,,"For 100% AgNO3, the results have been advanced as the recommended data set.",
AgNO3-TlNO3,0-100,P1,490,620,,5.807,-0.001858,,,,"For 100% TlNO3, the departures from the recommended data set are: 490 K, +0.09%, 620 K, +0.15%.",
AgNO3-TlNO3,10-90,P1,470,600,,5.695,-0.00178,,,,,
AgNO3-TlNO3,20-80,P1,443,593,,5.582,-0.00171,,,,,
AgNO3-TlNO3,30-70,P1,440,590,,5.467,-0.00163,,,,,
AgNO3-TlNO3,40-60,P1,433,593,,5.351,-0.00156,,,,,
AgNO3-TlNO3,50-50,P1,440,590,,5.23,-0.00149,,,,,
AgNO3-TlNO3,60-40,P1,433,593,,5.103,-0.00142,,,,,
AgNO3-TlNO3,70-30,P1,440,590,,4.97,-0.00135,,,,,
AgNO3-TlNO3,80-20,P1,443,593,,4.828,-0.00127,,,,,
AgNO3-TlNO3,90-10,P1,470,600,,4.684,-0.00121,,,,,
AgNO3-TlNO3,100-0,P1,490,630,,4.521,-0.00113,,,,"For 100% AgNO3, the results have been advanced as the recommended data set.",
Ag2S,100,P1,1173,1273,5%,7.5329,-9.132E-4,,,,,
Ag2Se,100,P1,1170,1250,5%,8.4199,-9.746E-4,,,,,
Ag2SO4,100,P1,953,1043,1%,5.843,-0.001089,,,,,
Ag2SO4-Li2SO4,0-100,P1,1150,1230,,2.3824,-3.35E-4,,,,"For 100% Li2SO4, the departures from the recommended data set are: 1150 K, 0.0%, 1230 K, +0.4%.",
Ag2SO4-Li2SO4,50-50,P1,890,1010,,4.4768,-9.643E-4,,,,,
Ag2SO4-Li2SO4,100-0,P1,950,1050,,5.8436,-0.0010895,,,,"For 100% Ag2SO4, the results have been advanced as the recommended data set.",
Ag2Te,100,P1,1230,1250,5%,8.4178,-8.125E-4,,,,,
AlBr3,100,P1,380,540,1%,3.5491,-0.0024356,,,,,
AlBr3-HgBr2,66.67-33.33,P1,385,410,,4.4973,-0.0024002,,,,,
AlBr3-HgBr2,69.51-30.49,P1,385,410,,4.4393,-0.0024499,,,,,
AlBr3-HgBr2,71.87-28.13,P1,385,410,,4.1321,-0.00188,,,,,
AlBr3-HgBr2,73.54-26.46,P1,385,410,,4.2456,-0.00229,,,,,
AlBr3-HgBr2,76.94-23.06,P1,385,410,,4.2233,-0.00247,,,,,
AlBr3-HgBr2,80.15-19.85,P1,385,410,,4.1432,-0.00253,,,,,
AlBr3-HgBr2,84.80-15.20,P1,385,410,,3.9315,-0.0023501,,,,,
AlBr3-HgBr2,92.66-7.34,P1,385,410,,3.7383,-0.0023801,,,,,
AlBr3-HgBr2,100-0,P1,385,415,,3.4969,-0.0022801,,,,"For 100% AlBr3, the departures from the recommended data set are: 385 K, +0.3%, 415 K, +0.5%.",
AlBr3-KBr,66.67-33.33,P1,385,410,,3.3615,-0.0014202,,,,,
AlBr3-KBr,68.77-31.23,P1,385,410,,3.3951,-0.0015102,,,,,
AlBr3-KBr,71.21-28.79,P1,395,410,,3.3838,-0.0015001,,,,,
AlBr3-KBr,75.66-24.34,P1,385,410,,3.4219,-0.0016301,,,,,
AlBr3-KBr,76.59-23.41,P1,385,410,,3.4186,-0.0016401,,,,,
AlBr3-KCl,66.7-33.3,P1,360,440,,3.2364,-0.0014321,,,,,
AlBr3-KCl,100.0-0.0,P1,380,430,,3.5104,-0.0023143,,,,"For 100% AlBr3, the departures from the recommended data set are: 380 K, +0.3%, 430 K, +0.5%.",
AlBr3-NaBr,33.3-66.7,P1,960,1140,,3.026,-8.12E-4,,,,,
AlBr3-NaBr,50.0-50.0,P1,600,1140,,3.267,-0.00113,,,,,
AlBr3-NaBr,66.7-33.3,P1,460,800,,3.321,-0.00132,,,,,
AlBr3-NaBr,80.0-20.0,P1,400,640,,3.421,-0.0017,,,,,
AlBr3-NH4Br,66.69-33.31,P1,385,420,,3.2035,-0.0013152,,,,,
AlBr3-NH4Br,70.90-29.10,P1,385,420,,3.2491,-0.001404,,,,,
AlBr3-NH4Br,74.78-25.22,P1,385,420,,3.2763,-0.0014586,,,,,
AlBr3-NH4Br,75.63-24.37,P1,385,420,,3.2968,-0.0015179,,,,,
AlBr3-NH4Br,78.40-21.60,P1,385,420,,3.3275,-0.0016029,,,,,
AlBr3-NH4Br,100-0,P1,385,420,,3.4969,-0.0022801,,,,"For 100% AlBr3, the departures from the recommended data set are: 385 K, +0.3%, 415 K, +0.5%.",
AlBr3-SbBr3,0-100,P1,375,410,,4.6695,-0.0026044,,,,"For 100% SbBr3, the departures from the recommended data set are: 375 K, +5.3%, 410 K, +5.6%.",
AlBr3-SbBr3,4.39-95.61,P1,375,410,,4.7948,-0.0029759,,,,,
AlBr3-SbBr3,15.47-84.53,P1,375,410,,4.5433,-0.0025024,,,,,
AlBr3-SbBr3,24.69-75.31,P1,375,410,,4.4314,-0.0023764,,,,,
AlBr3-SbBr3,28.50-71.50,P1,375,410,,4.9025,-0.0036345,,,,,
AlBr3-SbBr3,34.06-65.94,P1,375,410,,4.305,-0.0022264,,,,,
AlBr3-SbBr3,39.63-60.37,P1,375,410,,4.268,-0.0022804,,,,,
AlBr3-SbBr3,41.30-58.70,P1,375,410,,4.253,-0.0022804,,,,,
AlBr3-SbBr3,50.08-49.92,P1,375,410,,4.2046,-0.0023704,,,,,
AlBr3-SbBr3,53.63-46.37,P1,375,410,,4.1157,-0.0022384,,,,,
AlBr3-SbBr3,55.03-44.97,P1,375,410,,4.0644,-0.0021363,,,,,
AlBr3-SbBr3,61.64-38.36,P1,375,410,,4.0764,-0.0023651,,,,,
AlBr3-SbBr3,65.65-34.35,P1,375,410,,3.9943,-0.0022972,,,,,
AlBr3-SbBr3,73.69-26.31,P1,375,410,,3.9073,-0.0023359,,,,,
AlBr3-SbBr3,77.66-22.34,P1,375,410,,3.8138,-0.0022552,,,,,
AlBr3-SbBr3,79.62-20.38,P1,375,410,,3.813,-0.0023362,,,,,
